CBSA_Code1,CBSA_Code,MSA_Name,Patents_2015
41940,141940,"San Jose-Sunnyvale-Santa Clara, CA",14618
35620,135620,"New York-Northern New Jersey-Long Island, NY-NJ-PA",7754
41860,141860,"San Francisco-Oakland-Fremont, CA",9732
31100,131100,"Los Angeles-Long Beach-Santa Ana, CA",6476
14460,114460,"Boston-Cambridge-Quincy, MA-NH",5949
16980,116980,"Chicago-Joliet-Naperville, IL-IN-WI",3909
41740,141740,"San Diego-Carlsbad-San Marcos, CA",5460
42660,142660,"Seattle-Tacoma-Bellevue, WA",4739
33460,133460,"Minneapolis-St. Paul-Bloomington, MN-WI",3419
19820,119820,"Detroit-Warren-Livonia, MI",3305
19100,119100,"Dallas-Fort Worth-Arlington, TX",3026
12420,112420,"Austin-Round Rock-San Marcos, TX",2700
37980,137980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2357
26420,126420,"Houston-Sugar Land-Baytown, TX",3186
38900,138900,"Portland-Vancouver-Hillsboro, OR-WA",2163
47900,147900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2310
12060,112060,"Atlanta-Sandy Springs-Marietta, GA",2143
38060,138060,"Phoenix-Mesa-Glendale, AZ",1764
40380,140380,"Rochester, NY",1217
14260,114260,"Boise City-Nampa, ID",722
39580,139580,"Raleigh-Cary, NC",1535
33100,133100,"Miami-Fort Lauderdale-Pompano Beach, FL",1338
17140,117140,"Cincinnati-Middletown, OH-KY-IN",1048
19740,119740,"Denver-Aurora-Broomfield, CO",1202
17460,117460,"Cleveland-Elyria-Mentor, OH",922
38300,138300,"Pittsburgh, PA",895
10580,110580,"Albany-Schenectady-Troy, NY",1090
12580,112580,"Baltimore-Towson, MD",846
41180,141180,"St. Louis, MO-IL",779
39100,139100,"Poughkeepsie-Newburgh-Middletown, NY",871
14860,114860,"Bridgeport-Stamford-Norwalk, CT",636
14500,114500,"Boulder, CO",831
33340,133340,"Milwaukee-Waukesha-West Allis, WI",689
25540,125540,"Hartford-West Hartford-East Hartford, CT",845
26900,126900,"Indianapolis-Carmel, IN",735
28140,128140,"Kansas City, MO-KS",816
11460,111460,"Ann Arbor, MI",785
40900,140900,"Sacramento--Arden-Arcade--Roseville, CA",659
37100,137100,"Oxnard-Thousand Oaks-Ventura, CA",571
14740,114740,"Bremerton-Silverdale, WA",907
42100,142100,"Santa Cruz-Watsonville, CA",678
49340,149340,"Worcester, MA",637
46060,146060,"Tucson, AZ",641
39300,139300,"Providence-New Bedford-Fall River, RI-MA",496
20500,120500,"Durham-Chapel Hill, NC",607
45300,145300,"Tampa-St. Petersburg-Clearwater, FL",624
41620,141620,"Salt Lake City, UT",643
15540,115540,"Burlington-South Burlington, VT",367
18140,118140,"Columbus, OH",445
35300,135300,"New Haven-Milford, CT",457
40140,140140,"Riverside-San Bernardino-Ontario, CA",484
40340,140340,"Rochester, MN",564
22660,122660,"Fort Collins-Loveland, CO",392
45940,145940,"Trenton-Ewing, NJ",542
10420,110420,"Akron, OH",373
31540,131540,"Madison, WI",455
10900,110900,"Allentown-Bethlehem-Easton, PA-NJ",320
37340,137340,"Palm Bay-Melbourne-Titusville, FL",450
31700,131700,"Manchester-Nashua, NH",376
36740,136740,"Orlando-Kissimmee-Sanford, FL",446
16740,116740,"Charlotte-Gastonia-Rock Hill, NC-SC",451
41700,141700,"San Antonio-New Braunfels, TX",413
15380,115380,"Buffalo-Niagara Falls, NY",254
42060,142060,"Santa Barbara-Santa Maria-Goleta, CA",468
10740,110740,"Albuquerque, NM",294
24860,124860,"Greenville-Mauldin-Easley, SC",479
29820,129820,"Las Vegas-Paradise, NV",418
17820,117820,"Colorado Springs, CO",204
39340,139340,"Provo-Orem, UT",396
19380,119380,"Dayton, OH",260
18700,118700,"Corvallis, OR",135
37900,137900,"Peoria, IL",410
32820,132820,"Memphis, TN-MS-AR",326
39900,139900,"Reno-Sparks, NV",243
42220,142220,"Santa Rosa-Petaluma, CA",233
24540,124540,"Greeley, CO",280
40060,140060,"Richmond, VA",243
30460,130460,"Lexington-Fayette, KY",181
19780,119780,"Des Moines-West Des Moines, IA",218
34980,134980,"Nashville-Davidson--Murfreesboro--Franklin, TN",220
28940,128940,"Knoxville, TN",218
45060,145060,"Syracuse, NY",217
24340,124340,"Grand Rapids-Wyoming, MI",217
31140,131140,"Louisville/Jefferson County, KY-IN",300
13780,113780,"Binghamton, NY",109
26100,126100,"Holland-Grand Haven, MI",166
26620,126620,"Huntsville, AL",190
45780,145780,"Toledo, OH",146
47260,147260,"Virginia Beach-Norfolk-Newport News, VA-NC",143
36420,136420,"Oklahoma City, OK",155
11540,111540,"Appleton, WI",108
16300,116300,"Cedar Rapids, IA",193
27260,127260,"Jacksonville, FL",202
15940,115940,"Canton-Massillon, OH",121
46140,146140,"Tulsa, OK",174
35980,135980,"Norwich-New London, CT",108
23060,123060,"Fort Wayne, IN",141
24660,124660,"Greensboro-High Point, NC",159
36260,136260,"Ogden-Clearfield, UT",197
44140,144140,"Springfield, MA",165
25420,125420,"Harrisburg-Carlisle, PA",125
35840,135840,"North Port-Bradenton-Sarasota, FL",141
36780,136780,"Oshkosh-Neenah, WI",98
35380,135380,"New Orleans-Metairie-Kenner, LA",134
38860,138860,"Portland-South Portland-Biddeford, ME",143
23540,123540,"Gainesville, FL",187
29540,129540,"Lancaster, PA",148
36540,136540,"Omaha-Council Bluffs, NE-IA",178
16580,116580,"Champaign-Urbana, IL",166
48620,148620,"Wichita, KS",110
27060,127060,"Ithaca, NY",140
29140,129140,"Lafayette, IN",191
40420,140420,"Rockford, IL",155
22420,122420,"Flint, MI",120
